userName,content,score,at,repliedAt,appVersion
Pengguna Google,"Kl Bisa potongan admin jgn banyak banyak ya, jika transfer ke bca. Makasih. Lalu Aplikasi kok hilang dari dash board hp, gimana caranya memunculkan kembali. Makasih.",5,2025-11-03 07:33:50,,4.43.0
Pengguna Google,"kenapa lama proses kembalian dananya sedang kan di link aja(saldo) berkurang ke no rekening tujuan tidak masuk .,mohon dipercepat lah",5,2025-11-03 07:11:07,,4.43.0
Pengguna Google,mudah mudahan berkah,5,2025-11-02 23:47:14,,4.43.0
Pengguna Google,aplikasi sial saya top up dana sampai sekarang belum masuk tolong kembalikan uang saya,1,2025-11-02 21:12:54,,4.43.0
Pengguna Google,biyaya transfernya gede banget 6500 geloo,5,2025-11-02 16:55:54,,
Pengguna Google,"mending pake DANA.. bnyk eror, lemot, 👎",1,2025-11-02 16:46:23,,4.43.0
Pengguna Google,knp sy tdk bs buat data sy. tolng d jawab,1,2025-11-02 11:10:58,,4.43.0
Pengguna Google,"transaksi saya dari kemaren nggak masuk"" katanya suruh nungu 1 x 24 jam tapi masih belom masuk"" sampe sejarang gimaba y",2,2025-11-02 10:28:01,,4.43.0
Pengguna Google,keren,5,2025-11-02 07:45:57,,4.42.0
Pengguna Google,"Vertifikasi nya kenapa ke email, bukan ke no handphone?? ⭐",2,2025-11-02 06:38:32,,4.43.0
Pengguna Google,Link Aja.aplkikasi yg sangat membantu untuk memudahkan kita bertransaksi.,5,2025-11-02 03:53:32,,4.43.0
Pengguna Google,"mau mengajukan keluhan di customer service aja susah bnget, masa kita sebagai pengguna tdk diberikan buat ketikan soal keluhan, dan harus milih yg sdh ada diapknya coba tambahin karena menu lainnya buat mereka pengguna lain bisa sampaikan apa yg masih kurang",1,2025-11-02 02:25:54,,
Pengguna Google,bagus dan mantull,5,2025-11-02 00:52:19,,
Pengguna Google,proses update full service nya lama prosesnya,3,2025-11-01 23:14:11,,
Pengguna Google,oke..,5,2025-11-01 19:33:40,,
Pengguna Google,cara mendapatkan pinjaman,1,2025-11-01 15:58:20,,4.43.0
Pengguna Google,apk scem saldo saya hilang di curi dia,1,2025-11-01 14:34:06,,4.43.0
Pengguna Google,tgl 28 Oktober 2025 membeli pulsa internasional Singapore $11. tertera sukses dan saldo sudah terpotong tetapi sampai saat ini pulsa tersebut belum juga sampai di nomer hp tujuan .. sudah berkali2 hubungi cs namun mesin otomatis yg respon..,2,2025-11-01 11:11:53,,4.43.0
Pengguna Google,apps berbayar nyusahin.tengah malam kehabisan token listrik ga bisa buat transaksi. hubungi cs tanpa berbayar ga ada. apps keuangan payah,1,2025-11-01 00:15:15,,4.43.0
Pengguna Google,sangat puas,5,2025-10-31 21:41:57,,4.43.0
Pengguna Google,Aku masuk live chat tapi ngga ada solusi.. sedangkan live chatnya dimana untuk konsultasi.?? diskusi.?? yg ada AI system yang ngadmin..,1,2025-10-31 19:43:31,,4.43.0
Pengguna Google,"terus integrasi hilirisasi ekosistem linkaja sesuai permintaan pasar domestik maupun internasional di kawasan yang berkelanjutan agar Linkpay dompet tetap mengalir seperti air di seluruh lini ekonomi masyarakat Indonesia khususnya maupun masyarakat internasional yang sedang berkunjung ke Indonesia lebih nyaman lagi, gabungkan satu aplikasi linkaja dompet dan linkaja merchant menjadi satu kesatuan agar UMKM lebih efisien tinjauan usaha mereka di satu aplikasi saja",5,2025-10-31 17:42:45,2022-06-07 21:16:10,4.43.0
Pengguna Google,Ok,5,2025-10-31 17:18:04,,4.43.0
Pengguna Google,maaf bintang 1 dulu saya memberi keluhan permasalahan tp tidak di tanggapi,1,2025-10-31 15:15:15,,
Pengguna Google,"mantap ringkas, sangat bermanfaat",5,2025-10-31 08:29:12,,4.43.0
Pengguna Google,tabungan emasnya kemana?kenapa hilang?saya ada tabung disana?sudah email belum ada tanggapan dari link aja,1,2025-10-30 20:21:19,2020-08-17 16:15:52,4.43.0
Pengguna Google,aplikasi buruk kirim uang 5juta sampe skarang nga masuk mau ngadu nga ada respon huh sumpah nyesal pake aplikasi ini,1,2025-10-30 15:57:17,,
Pengguna Google,"apk taiii daftar aja susah nya minta ampun, kalo bukan salah transfer gk mau pake link aja",1,2025-10-30 09:03:16,,4.43.0
Pengguna Google,untung transaksi sangat mudah,5,2025-10-30 00:10:58,,4.43.0
Pengguna Google,sangat2 membantu sekali di saat kondisi mendadak ad keperluan penting tanpa menyusahkn dan tnpa wktu lama smuanya tersaji cepat dan gak ribet. serta menampilkan berbagai mcam pilihan apk yg tergabung agar kita bsa memilih sesuai dgn kebutuhan. terimaksih sy ucpkn semoga mkin berjaya slalu.,5,2025-10-30 00:02:36,,4.43.0
Pengguna Google,"mau ganti no hp aja susahnya minta ampun. di suruh live chat tapi live chatnya susah nya minta ampun menunggu tok..........,",1,2025-10-29 20:16:10,,
Pengguna Google,"Transfer uang dari linkaja ke bank raya, malah dananya pending nggak masuk ke rekening bank sedangkan di linkaja saldonya sudah terpotong hampir 1 juta. Chat ke cs malah dibalas template oleh bot. Gimana nih linkaja, bukan kami aja ternyata korbannya.",1,2025-10-29 18:02:18,,
Pengguna Google,"aplikasi ribet mau login aja susah perlu otp ke email. sedangkan email udh gak aktif, pas mau ganti email juga ribet perlu verifikasi ini itu. enak gakusah dipake lagi aja apk ini. ribet sumpah.",1,2025-10-29 17:29:38,,4.43.0
Pengguna Google,Tidak bisa top up lagi dan tidak bisa bayar melalui aplikasi Pln Mobile lagi. Semoga segera diperbaiki,2,2025-10-29 14:08:44,,4.43.0
